127.0.0.1 - - [14/May/2020:17:24:56 +0300] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [14/May/2020:17:24:59 +0300] "GET /Asiakkaat/asiakkaat/* HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:05 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:18 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:18 +0300] "GET /Asiakkaat/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:19 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:25 +0300] "GET /Asiakkaat/asiakkaat/lai HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:30 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:30 +0300] "GET /Asiakkaat/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:45 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:46 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:47 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:52 +0300] "GET /Asiakkaat/muutaasiakas.jsp?asiakas_id=17 HTTP/1.1" 200 3394
0:0:0:0:0:0:0:1 - - [14/May/2020:17:25:53 +0300] "GET /Asiakkaat/asiakkaat/haeyksi/17 HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [14/May/2020:17:26:00 +0300] "PUT /Asiakkaat/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2020:17:26:02 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2726
0:0:0:0:0:0:0:1 - - [14/May/2020:17:26:02 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [14/May/2020:17:26:06 +0300] "DELETE /Asiakkaat/asiakkaat/17 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2020:17:26:07 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [14/May/2020:20:53:43 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [14/May/2020:20:55:04 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [14/May/2020:20:56:18 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [14/May/2020:20:58:26 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2557
0:0:0:0:0:0:0:1 - - [14/May/2020:20:58:26 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [14/May/2020:21:02:04 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [14/May/2020:21:02:05 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [14/May/2020:21:02:33 +0300] "GET /Asiakkaat/lisaaasiakas.jsp HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [14/May/2020:21:02:45 +0300] "POST /Asiakkaat/asiakkaat HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2020:21:02:47 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [14/May/2020:21:02:47 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [14/May/2020:21:02:52 +0300] "DELETE /Asiakkaat/asiakkaat/18 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2020:21:02:52 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [14/May/2020:21:02:57 +0300] "GET /Asiakkaat/listaaasiakkaat.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [14/May/2020:21:02:57 +0300] "GET /Asiakkaat/asiakkaat/ HTTP/1.1" 200 334
